storenumber,storename,address,addressline2,addressline3,city,state,zipcode,phonenumber,storehours,wireless,latitude,longitude,group,faxnumber,drivethru
1.033e+10,"E. Northport, Larkfield Rd","506 Larkfield Rd","","","East Northport","NY","11731-4202","631-266-1879","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:30:00 Sat: 06:00:00-22:30:00 Sun: 06:30:00-22:00:00","Wireless Hotspot",40.86383,-73.32113,0,"",""
1.040e+10,"Ithaca on The Commons","130 E. Seneca Street","Seneca Place on The Commons","","Ithaca","NY","14850-4356","607-256-0452","Mon: 06:00:00-22:00:00 Tue: 06:00:00-22:00:00 Wed: 06:00:00-22:00:00 Thu: 06:00:00-22:00:00 Fri: 06:00:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-21:00:00","Wireless Hotspot",42.4406,-76.49705,0,"",""
1.040e+10,"21st & 5th","4 W. 21st Street","","","New York","NY","10010-6945","646-336-6583","Mon: 06:00:00-21:30:00 Tue: 06:00:00-21:30:00 Wed: 06:00:00-21:30:00 Thu: 06:00:00-21:30:00 Fri: 06:00:00-21:30:00 Sat: 07:00:00-21:00:00 Sun: 07:00:00-21:00:00","Wireless Hotspot",40.74038,-73.99117,0,"",""
1.040e+09,"Schenectady, Watt St.","2441 Watt Street","","","Schenectady","NY","12304-3313","518-347-1716","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-23:00:00","Wireless Hotspot",42.78364,-73.91362,0,"",""
1.040e+10,"Staten Island Mall","2655 Richmond Avenue","Staten Island Mall","1485","Staten Island","NY","10314-5821","718-477-5010","Mon: 08:00:00-21:00:00 Tue: 08:00:00-21:00:00 Wed: 08:00:00-21:00:00 Thu: 08:00:00-21:00:00 Fri: 08:00:00-21:00:00 Sat: 08:00:00-21:00:00 Sun: 09:00:00-18:00:00","Wireless Hotspot",40.58107,-74.16651,0,"",""
1.046e+10,"Tuckahoe Train Station","1 Depot Square","Tuckahoe Train Station","","Tuckahoe","NY","10707-4003","914-793-0746","Mon: 05:30:00-19:00:00 Tue: 05:30:00-19:00:00 Wed: 05:30:00-19:00:00 Thu: 05:30:00-19:00:00 Fri: 05:30:00-19:00:00 Sat: 06:30:00-19:00:00 Sun: 07:00:00-19:00:00","Wireless Hotspot",40.95061,-73.82764,0,"",""
1.051e+10,"East Greenbush","599 N Greenbush Rd.","","","Rensselaer","NY","12144-9512","518-286-3153","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:30:00-22:00:00","Wireless Hotspot",42.64633,-73.69735,0,"",""
1.051e+10,"Sea Cliff, Glen Cove Ave","202 Glen Cove Ave","","Suite A","Glen Cove","NY","11542-4189","516-759-0853","Mon: 05:30:00-22:30:00 Tue: 05:30:00-22:30:00 Wed: 05:30:00-22:30:00 Thu: 05:30:00-22:30:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:30:00 Sun: 06:30:00-22:00:00","Wireless Hotspot",40.84907,-73.63492,0,"",""
1.052e+10,"Kingston, NY","39 Massa Drive","","","Kingston","NY","12401-8107","845-336-5304","Mon: 06:00:00-21:30:00 Tue: 06:00:00-21:30:00 Wed: 06:00:00-21:30:00 Thu: 06:00:00-21:30:00 Fri: 06:00:00-22:00:00 Sat: 06:00:00-22:00:00 Sun: 07:00:00-21:00:00","Wireless Hotspot",41.96269,-73.989,0,"",""
1.061e+10,"Third & 60th","1021 Third Avenue","","","New York","NY","10065-8501","212-486-6764","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-23:00:00 Sat: 06:30:00-23:00:00 Sun: 07:00:00-22:00:00","Wireless Hotspot",40.76239,-73.96574,0,"",""
1.061e+10,"Watertown, NY","1242 Arsenal Street","","","Watertown","NY","13601-2214","315-779-9029","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:00:00","Wireless Hotspot",43.97651,-75.94418,0,"",""
1.061e+10,"Plattsburgh, Cornelia St.","359 Cornelia Street","","","Plattsburgh","NY","12901-2211","518-566-8142","Mon: 06:00:00-21:30:00 Tue: 06:00:00-21:30:00 Wed: 06:00:00-21:30:00 Thu: 06:00:00-21:30:00 Fri: 06:00:00-22:00:00 Sat: 06:00:00-22:00:00 Sun: 07:00:00-21:00:00","Wireless Hotspot",44.69675,-73.48341,0,"",""
1.069e+10,"Bloomberg Building","731 Lexington Avenue","","","New York","NY","10022-1331","212-644-0692","Mon: 05:00:00-21:00:00 Tue: 05:00:00-21:00:00 Wed: 05:00:00-21:00:00 Thu: 05:00:00-21:00:00 Fri: 05:00:00-21:00:00 Sat: 05:00:00-21:00:00 Sun: 05:00:00-21:00:00","Wireless Hotspot",40.7614,-73.96786,0,"",""
1.075e+10,"Transit Commons","9660 Transit Road","Tops Transit Commons Shopping Ctr.","101","East Amherst","NY","14051-1484","716-636-1794","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:00:00","Wireless Hotspot",43.03214,-78.6972,0,"",""
1.075e+10,"Roosevelt Island","455 Main Street","","","New York","NY","10044-0192","212-371-1298","Mon: 06:00:00-21:00:00 Tue: 06:00:00-21:00:00 Wed: 06:00:00-21:00:00 Thu: 06:00:00-21:00:00 Fri: 06:00:00-22:00:00 Sat: 06:00:00-22:00:00 Sun: 06:00:00-22:00:00","Wireless Hotspot",40.75933,-73.95289,0,"",""
1.078e+10,"35th & 5th","373 5th Avenue","","","New York","NY","10016-3307","212-213-5363","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-23:00:00 Sat: 07:00:00-23:00:00 Sun: 07:00:00-22:00:00","Wireless Hotspot",40.74914,-73.98383,0,"",""
1.084e+10,"55th & Lexington","655 Lexington Avenue","","","New York","NY","10022-4502","212-308-5717","Mon: 06:00:00-21:00:00 Tue: 06:00:00-21:00:00 Wed: 06:00:00-21:00:00 Thu: 06:00:00-21:00:00 Fri: 06:00:00-21:00:00 Sat: 06:00:00-21:00:00 Sun: 06:00:00-21:00:00","Wireless Hotspot",40.75945,-73.96998,0,"",""
1.097e+10,"The Marketplace Mall","1 Miracle Mile Drive","The Marketplace Mall","KIO13","Rochester","NY","14623-5851","585-427-2370","Mon: 08:00:00-21:30:00 Tue: 08:00:00-21:30:00 Wed: 08:00:00-21:30:00 Thu: 08:00:00-21:30:00 Fri: 08:00:00-21:30:00 Sat: 08:00:00-21:30:00 Sun: 09:30:00-18:00:00","Wireless Hotspot",43.08078,-77.63326,0,"",""
1.106e+10,"Crossgates Mall","1 Crossgates Mall Road","Crossgates Mall","B231","Albany","NY","12203-5367","518-218-1520","Mon: 08:30:00-22:00:00 Tue: 08:30:00-22:00:00 Wed: 08:30:00-22:00:00 Thu: 08:30:00-22:00:00 Fri: 08:30:00-22:00:00 Sat: 08:30:00-22:00:00 Sun: 09:30:00-19:00:00","Wireless Hotspot",42.68946,-73.85047,0,"",""
1.107e+10,"Lake Placid, Main St","2490 Main St.","","","Lake Placid","NY","12946","5185231437","Mon: 06:30:00-21:00:00 Tue: 06:30:00-21:00:00 Wed: 06:30:00-21:00:00 Thu: 06:30:00-21:00:00 Fri: 06:30:00-22:00:00 Sat: 06:30:00-22:00:00 Sun: 07:30:00-21:00:00","Wireless Hotspot",44.2885,-73.98528,0,"",""
1.119e+10,"1244 Western Ave","1244 Western Avenue","","","Albany","NY","12203-3322","518-591-0372","Mon: 05:30:00-23:30:00 Tue: 05:30:00-23:30:00 Wed: 05:30:00-23:30:00 Thu: 05:30:00-23:30:00 Fri: 06:00:00-00:00:00 Sat: 06:00:00-00:00:00 Sun: 07:00:00-22:00:00","Wireless Hotspot",42.67841,-73.83036,0,"",""
1.128e+10,"New Scotland Avenue","62 New Scotland Ave","Hilton Garden Inn at Albany Medical Ctr","","Albany","NY","12208-3466","518-694-8171","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-23:00:00 Sat: 05:30:00-23:00:00 Sun: 05:30:00-23:00:00","Wireless Hotspot",42.65229,-73.77619,0,"",""
1.128e+10,"Lexington & 85th","1261 Lexington Avenue","","","New York","NY","10028-2001","212-879-1764","Mon: 05:00:00-23:00:00 Tue: 05:00:00-23:00:00 Wed: 05:00:00-23:00:00 Thu: 05:00:00-23:00:00 Fri: 05:00:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-23:00:00","Wireless Hotspot",40.77865,-73.95604,0,"",""
1.137e+10,"Nanuet, Rockland Plaza","126 West Rockland Plaza","","","Nanuet","NY","10954-2210","845-624-2085","Mon: 06:00:00-21:00:00 Tue: 06:00:00-21:00:00 Wed: 06:00:00-21:00:00 Thu: 06:00:00-21:00:00 Fri: 06:00:00-22:00:00 Sat: 06:30:00-22:00:00 Sun: 07:00:00-21:00:00","Wireless Hotspot",41.09883,-74.01501,0,"",""
1.137e+10,"Queens Blvd, Sunnyside","46-09 Queens Blvd.","","","Sunnyside","NY","11104-1711","718-472-5215","Mon: 05:00:00-23:00:00 Tue: 05:00:00-23:00:00 Wed: 05:00:00-23:00:00 Thu: 05:00:00-23:00:00 Fri: 05:00:00-02:00:00 Sat: 06:00:00-02:00:00 Sun: 07:00:00-23:00:00","Wireless Hotspot",40.74342,-73.9182,0,"",""
1.142e+10,"Carousel Center Mall","9737 Carousel Ctr","","","Syracuse","NY","13290-9681","315-473-9709","Mon: 08:00:00-22:00:00 Tue: 08:00:00-22:00:00 Wed: 08:00:00-22:00:00 Thu: 08:00:00-22:00:00 Fri: 08:00:00-22:30:00 Sat: 08:00:00-22:30:00 Sun: 09:00:00-19:00:00","Wireless Hotspot",43.06996,-76.17306,0,"",""
1.154e+10,"Rockaway Tpke, Cedarhurst","316 Rockaway Tpke.","","","Cedarhurst","NY","11516-1116","516-371-0238","Mon: 05:00:00-23:00:00 Tue: 05:00:00-23:00:00 Wed: 05:00:00-23:00:00 Thu: 05:00:00-23:00:00 Fri: 05:00:00-22:30:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:30:00","Wireless Hotspot",40.62638,-73.73607,0,"",""
1.154e+10,"Webster, Hard & Ridge","944 Hard Road","Webster Plaza","Suite A","Webster","NY","14580-8995","585-872-0250","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:00:00 Sat: 06:00:00-22:00:00 Sun: 06:00:00-21:30:00","",43.21039,-77.45984,0,"",""
1.159e+10,"Palisade II","3530 PALISADES CENTER DR","Palisade Center Mall","G202","West Nyack","NY","10994-6605","845-727-7278","Mon: 07:30:00-22:00:00 Tue: 07:30:00-22:00:00 Wed: 07:30:00-22:00:00 Thu: 07:30:00-22:00:00 Fri: 07:30:00-22:30:00 Sat: 07:30:00-22:30:00 Sun: 08:00:00-20:00:00","Wireless Hotspot",41.09751,-73.95703,0,"",""
1.165e+10,"145th & Bradhurst","301 W. 145th St.","","","New York","NY","10039-3159","212-690-7835","Mon: 05:30:00-22:30:00 Tue: 05:30:00-22:30:00 Wed: 05:30:00-22:30:00 Thu: 05:30:00-22:30:00 Fri: 05:30:00-22:30:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:30:00","Wireless Hotspot",40.82338,-73.94261,0,"",""
1.165e+10,"Hudson & King","345 Hudson St.","","","New York","NY","10014-4502","646-486-0487","Mon: 06:00:00-20:00:00 Tue: 06:00:00-20:00:00 Wed: 06:00:00-20:00:00 Thu: 06:00:00-20:00:00 Fri: 06:00:00-20:00:00 Sat: 00:00:00-00:00:00 Sun: 00:00:00-00:00:00","Wireless Hotspot",40.72756,-74.00741,0,"",""
1.165e+10,"Hudson & 10th","518 Hudson Street","","","New York","NY","10014-2854","646-486-0524","Mon: 05:30:00-21:30:00 Tue: 05:30:00-21:30:00 Wed: 05:30:00-21:30:00 Thu: 05:30:00-22:30:00 Fri: 05:30:00-22:30:00 Sat: 06:00:00-22:30:00 Sun: 06:00:00-21:30:00","Wireless Hotspot",40.73368,-74.00613,0,"",""
1.174e+10,"49th & Madison","425 Madison Avenue","","","New York","NY","10017-1110","212/644/9462","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:00:00 Sat: 06:00:00-22:00:00 Sun: 06:00:00-22:00:00","Wireless Hotspot",40.75696,-73.9759,0,"",""
1.174e+10,"Madison & 44th","340 Madison Avenue","","","New York","NY","10173-0002","212-867-0928","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:00:00 Sat: 06:30:00-20:00:00 Sun: 06:30:00-20:00:00","Wireless Hotspot",40.75404,-73.97859,0,"",""
1.174e+10,"63rd & Broadway","1889 Broadway","","","New York","NY","10023-7005","212-245-1362","Mon: 05:30:00-00:00:00 Tue: 05:30:00-00:00:00 Wed: 05:30:00-00:00:00 Thu: 05:30:00-00:00:00 Fri: 05:30:00-00:00:00 Sat: 06:00:00-00:00:00 Sun: 06:00:00-23:00:00","Wireless Hotspot",40.77137,-73.98259,0,"",""
1.176e+10,"Empire State Building","350 Fifth Avenue","","","New York","NY","10118-0110","212-268-5471","Mon: 06:00:00-23:00:00 Tue: 06:00:00-23:00:00 Wed: 06:00:00-23:00:00 Thu: 06:00:00-23:00:00 Fri: 06:00:00-00:00:00 Sat: 07:00:00-00:00:00 Sun: 07:00:00-23:00:00","Wireless Hotspot",40.74866,-73.98561,0,"",""
1.177e+10,"Sixth & 58th","1411 Sixth Avenue","","","New York","NY","10019","212-664-1305","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:00:00 Sat: 06:00:00-22:00:00 Sun: 06:00:00-22:00:00","Wireless Hotspot",40.76477,-73.97709,0,"",""
1.181e+10,"164 Smith St, Bklyn","164 Smith Street","","","Brooklyn","NY","11201-6303","718-422-0178","Mon: 06:00:00-22:00:00 Tue: 06:00:00-22:00:00 Wed: 06:00:00-22:00:00 Thu: 06:00:00-22:00:00 Fri: 06:00:00-23:00:00 Sat: 07:00:00-23:00:00 Sun: 07:00:00-22:00:00","Wireless Hotspot",40.68623,-73.991,0,"",""
1.181e+10,"514 86th St, Brooklyn","514 86th Street","","","Brooklyn","NY","11209-5211","718-491-1340","Mon: 06:00:00-22:30:00 Tue: 06:00:00-22:30:00 Wed: 06:00:00-22:30:00 Thu: 06:00:00-22:30:00 Fri: 06:00:00-23:00:00 Sat: 06:30:00-23:00:00 Sun: 06:30:00-22:30:00","Wireless Hotspot",40.62113,-74.02582,0,"",""
1.181e+10,"Polytechnic University, Metro Tech","6 Metro Tech","Poly Tech Institute","","Brooklyn","NY","11201-3840","718-522-2396","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:00:00 Sat: 06:30:00-19:00:00 Sun: 06:30:00-18:00:00","Wireless Hotspot",40.6947,-73.98696,0,"",""
1.181e+10,"Colonie, Albany-Shaker & Wolf","243 Wolf Rd","","","Albany","NY","12205-1114","518-482-2370","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:30:00","",42.72662,-73.79539,0,"",""
1.181e+10,"Jericho Tpke, Commack","2055A Jericho Tpke","","","Commack","NY","11725-3007","631-543-0140","Mon: 04:30:00-22:00:00 Tue: 04:30:00-22:00:00 Wed: 04:30:00-22:00:00 Thu: 04:30:00-22:00:00 Fri: 04:30:00-23:00:00 Sat: 05:30:00-23:00:00 Sun: 06:30:00-22:00:00","Wireless Hotspot",40.84505,-73.2749,0,"",""
1.181e+10,"The Shops at Atlas Park, Queens","8000 Cooper Avenue","","","Glendale","NY","11385-7734","718-416-1521","Mon: 07:00:00-21:30:00 Tue: 07:00:00-21:30:00 Wed: 07:00:00-21:30:00 Thu: 07:00:00-21:30:00 Fri: 07:00:00-23:00:00 Sat: 07:30:00-23:00:00 Sun: 07:30:00-22:00:00","Wireless Hotspot",40.70935,-73.86932,0,"",""
1.186e+10,"Pleasantville, Memorial Plaza","42 Memorial Plaza","","","Pleasantville","NY","10570-2943","914-769-1020","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:30:00-22:00:00","Wireless Hotspot",41.13432,-73.79325,0,"",""
1.193e+10,"3503 Johnson Avenue, Bronx","3503 Johnson Avenue","","","Bronx","NY","10463-1602","718-543-2348","Mon: 06:00:00-22:00:00 Tue: 06:00:00-22:00:00 Wed: 06:00:00-22:00:00 Thu: 06:00:00-22:00:00 Fri: 06:00:00-23:00:00 Sat: 07:00:00-23:00:00 Sun: 07:00:00-22:00:00","Wireless Hotspot",40.88578,-73.90997,0,"",""
1.193e+10,"College Avenue, Ithaca","402 College Avenue","","Suite 402","Ithaca","NY","14850-6708","607-256-0231","Mon: 07:00:00-22:00:00 Tue: 07:00:00-22:00:00 Wed: 07:00:00-22:00:00 Thu: 07:00:00-22:00:00 Fri: 07:00:00-22:00:00 Sat: 07:00:00-22:00:00 Sun: 07:00:00-22:00:00","Wireless Hotspot",42.44156,-76.48364,0,"",""
1.193e+10,"118-24 Queens Blvd, Queens","118-24 Queens Blvd","","","Kew Gardens","NY","11415","718 261-4246","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-00:00:00 Fri: 05:30:00-00:00:00 Sat: 05:30:00-00:00:00 Sun: 07:00:00-22:00:00","",40.7099,-73.8305,0,"",""
1.193e+10,"Broadway & Canal","405 Broadway","","","New York","NY","10013-3558","646-613-0148","Mon: 06:00:00-21:00:00 Tue: 06:00:00-21:00:00 Wed: 06:00:00-21:00:00 Thu: 06:00:00-21:00:00 Fri: 06:00:00-21:00:00 Sat: 07:00:00-20:30:00 Sun: 07:00:00-20:30:00","Wireless Hotspot",40.71887,-74.0025,0,"",""
1.197e+10,"Dobbs Ferry, NY","45 Stanley Avenue","","","Dobbs Ferry","NY","10522-3405","914-674-5940","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:30:00 Sat: 06:00:00-22:30:00 Sun: 06:00:00-21:30:00","Wireless Hotspot",41.00306,-73.85689,0,"",""
1.197e+10,"East Setauket, Nesconset HIghway","4020 Nesconset Highway","","","East Setauket","NY","11733-3306","631-642-0263","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:00:00 Sat: 05:30:00-22:00:00 Sun: 05:30:00-22:00:00","",40.9043,-73.07376,0,"",""
1.313e+10,"Target Queens Place T-1344","8801 Queens Blvd","","","Elmhurst","NY","11373-4449","718-760-5656","Mon: - Tue: - Wed: - Thu: - Fri: - Sat: - Sun: -","",40.73533,-73.87491,0,"",""
1.315e+10,"SUNY Geneseo MacVittle College","1 College Circle","","","Geneseo","NY","14454-1401","","Mon: 07:00:00-15:30:00 Tue: 07:00:00-15:30:00 Wed: 07:00:00-15:30:00 Thu: 07:00:00-15:30:00 Fri: 07:00:00-15:30:00 Sat: 07:00:00-15:30:00 Sun: 07:00:00-15:30:00","",42.79559,-77.81937,0,"",""
1.326e+10,"910 Manhattan Ave, Bklyn","910 Manhattan Avenue","","","Brooklyn","NY","11222-2107","718-609-0467","Mon: 06:00:00-22:30:00 Tue: 06:00:00-22:30:00 Wed: 06:00:00-22:30:00 Thu: 06:00:00-22:30:00 Fri: 06:00:00-23:00:00 Sat: 06:30:00-23:00:00 Sun: 07:00:00-22:30:00","Wireless Hotspot",40.73053,-73.95414,0,"",""
1.326e+10,"Vestal, University Plaza","4706 Vestal Parkway East","","","Vestal","NY","13850-3708","607-797-1208","Mon: 06:00:00-22:00:00 Tue: 06:00:00-22:00:00 Wed: 06:00:00-22:00:00 Thu: 06:00:00-22:00:00 Fri: 06:00:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:30:00","Wireless Hotspot",42.09297,-75.94995,0,"",""
1.335e+10,"Canandaigua, Rt 5/20","10 Muar St.","Parkway Plaza","","Canandaigua","NY","14424-2321","585-394-6970","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:00:00 Sat: 06:00:00-22:00:00 Sun: 06:00:00-21:30:00","Wireless Hotspot",42.8775,-77.26267,0,"",""
1.345e+10,"Bellerose, Jericho & 251st","251-05 Jamaica Avenue","","","Bellerose","NY","11426","7183471304","Mon: 05:30:00-21:00:00 Tue: 05:30:00-21:00:00 Wed: 05:30:00-21:00:00 Thu: 05:30:00-21:00:00 Fri: 05:30:00-22:00:00 Sat: 06:30:00-22:00:00 Sun: 07:00:00-21:00:00","Wireless Hotspot",40.72701,-73.71402,0,"",""
1.345e+10,"Greece, West Ridge @ Center Pl","100 Center Place Drive","","","Greece","NY","14615-4011","585-865-6960","Mon: 05:00:00-22:00:00 Tue: 05:00:00-22:00:00 Wed: 05:00:00-22:00:00 Thu: 05:00:00-22:00:00 Fri: 05:00:00-22:00:00 Sat: 05:30:00-22:00:00 Sun: 05:30:00-22:00:00","Wireless Hotspot",43.20636,-77.67074,0,"",""
1.345e+10,"Latham, Troy-Schenectady Road","549 Troy-Schenectady Road","","","Latham","NY","12110-2811","518-783-0568","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-00:00:00 Sat: 06:00:00-00:00:00 Sun: 06:00:00-23:00:00","",42.75098,-73.76442,0,"",""
1.345e+10,"Middletown, Orange Plaza","51 Orange Plaza Lane","Orange Plaza","","Middletown","NY","10940-2254","845-343-0747","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-23:00:00 Sat: 05:30:00-23:00:00 Sun: 06:30:00-22:00:00","Wireless Hotspot",41.453,-74.38005,0,"",""
